Letter,Word,Video URL,Image URL
B,BEM-FEITO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bem-feito1Sm_Prog001.mp4,No Image Available
B,BEM-FEITO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bem-feito2Sm_Prog001.mp4,No Image Available
B,BEM-FEITO3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bem-feito3Sm_Prog001.mp4,No Image Available
B,BEM-VINDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bem_vindoSm_Prog001.mp4,No Image Available
B,BEM1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bem1Sm_Prog001.mp4,No Image Available
B,BEM2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bem2Sm_Prog001.mp4,No Image Available
B,BENÇÃO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bencaoSm_Prog001.mp4,No Image Available
B,BENGALA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bengalaSm_Prog001.mp4,No Image Available
B,BENZER,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/benzerSm_Prog001.mp4,No Image Available
B,BERÇO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bercoSm_Prog001.mp4,No Image Available
B,BERINJELA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/berinjelaSm_Prog001.mp4,No Image Available
B,BERMUDA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bermudaSm_Prog001.mp4,No Image Available
B,BERRANTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/berranteSm_Prog001.mp4,No Image Available
B,BERRAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/berrarSm_Prog001.mp4,No Image Available
B,BESOURO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/besouroSm_Prog001.mp4,No Image Available
B,BESTEIRA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/besteiraSm_Prog001.mp4,No Image Available
B,BETERRABA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/beterrabaSm_Prog001.mp4,No Image Available
B,BEXIGA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bexigaSm_Prog001.mp4,No Image Available
B,BEZERRO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bezerroSm_Prog001.mp4,No Image Available
B,BÍBLIA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bibliaSm_Prog001.mp4,No Image Available
B,BIBLIOGRAFIA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bibliografiaSm_Prog001.mp4,No Image Available
B,BIBLIOTECA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bibliotecaSm_Prog001.mp4,No Image Available
B,BICAMPEAO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bicampeaoSm_Prog001.mp4,No Image Available
B,BICAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bicarSm_Prog001.mp4,No Image Available
B,BÍCEPS,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bicepsSm_Prog001.mp4,No Image Available
B,BICHO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bicho1Sm_Prog001.mp4,No Image Available
B,BICHO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bicho2Sm_Prog001.mp4,No Image Available
B,BICHO3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bicho3Sm_Prog001.mp4,No Image Available
B,BICHO4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bicho4Sm_Prog001.mp4,No Image Available
