Letter,Word,Video URL,Image URL,Assuntos,Acepção,Exemplo,Exemplo Libras,Classe Gramatical,Origem
B,BLUSA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/blusaSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg63.jpg,VESTUÁRIO/COMPLEMENTOS,"Traje que cobre a metade superior do corpo, com ou sem gola ou mangas.","Aquela loja, anteontem, vendeu uma blusa bonita e barata.",L-O-J-A AQUEL@ ANTEONTEM VENDER BLUSA BONIT@ BARAT@.,SUBSTANTIVO,Nacional
B,BOA VIDA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boa-vidaSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg57.jpg,NENHUM,Condição daquele que não trabalha; levar uma vida folgada e sem responsabilidades.,Você não vai trabalhar hoje? Que boa vida!,HOJE VOCÊ TRABALHAR NAO? BOA-VIDA !,ADJETIVO,Nacional
B,BOA1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boa1Sm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg42.jpg,NENHUM,Situação que corresponde às expectativas; com resultados favoráveis.,Sua prova de português foi boa.,PROVA SE@ PORTUGUÊS NOTA BO@.,ADJETIVO,Nacional
B,BOA2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boa2Sm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg44.jpg,NENHUM,Mulher atraente; aquela que chama a atenção pelos atributos físicos.,Hoje de manhã eu vi passar uma mulher boa e fiquei babando.,HOJE MANHÃ EU VER MULHER PASSAR BOA EU BOQUIABERT@.,ADJETIVO,Nacional
B,BOATE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/boateSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg05.jpg,ESPORTE/DIVERSÃO,"Casa noturna que oferece música, pista de dança, bar, vídeos e outras atrações aos seus freqüentadores.","Eu e meus amigos freqüentamos, todos os sábados, uma boate em Copacabana.",SÁBADO TOD@ EU AMIG@ SEMPRE FREQÜENTAR BOATE COPACABANA.,SUBSTANTIVO,Nacional
B,BOBAGEM,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bobagemSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg39.jpg,NENHUM,Tolice; besteira; palavra ou ato impensado; inconveniência.,A raiva faz da vingança uma bobagem.,RAIVA VINGAR BOBAGEM!,SUBSTANTIVO,Nacional
B,BÓBI DE CABELO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bobi%20de%20cabeloSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg14.jpg,NENHUM,"Peça oca de plástico em forma de cilindro, de diversos tamanhos e diâmetros, para encrespar mechas de cabelo.",Antigamente eu usava muito bóbi.,ANTIGAMENTE EU ENROLAR-BÓBImuit@.,SUBSTANTIVO,Nacional
B,BOBO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bobo1Sm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg39.jpg,NENHUM,Impressionado; tolo; débil; idiota.,"Você vai ficar bobo e boquiaberto, quando olhar o carro de luxo.",VOCÊ BOBO OLHAR CARRO LUX@ BOQUIABERT@.,ADJETIVO,Nacional
B,BOBO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bobo2Sm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg42.jpg,NENHUM,Tolo; idiota.,Você não quer namorar aquela mulher? Você é bobo!,MULHER AQUEL@ VOCÊ NÃO-QUERER NAMORAR?VOCÊ B-O-B-O!,ADJETIVO,Nacional
B,BOCA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/bocaSm_Prog001.mp4,https://www.ines.gov.br/https://www.ines.gov.br/dicionario-de-libras/public/media/mao/cg14.jpg,CORPO,"Abertura existente no rosto, abaixo do nariz. Nela, entre elementos importantes, encontram-se a língua e os dentes.",A boca daquela mulher é bonita e me dá vontade de beijar.,BOCA MULHER AQUEL@ GROSS@ VONTADE BEIJAR.,SUBSTANTIVO,Nacional
